Servicio,Region,Comuna,Tipo_1,Dependencia,Tipo,Nombre,Direccion,Telefono,Fax
Del Libertador B.O'Higgins,6,LOLOL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Ranguil,Caserío Ranguil,,
Del Libertador B.O'Higgins,6,PICHIDEGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural San Roberto,Aldea San Roberto,,
Del Libertador B.O'Higgins,6,PICHIDEGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural San José de Marchihue,Aldea San José de Marchihue,,
Del Libertador B.O'Higgins,6,PLACILLA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Lo Moscoso,Aldea Lo Moscoso,,
Del Libertador B.O'Higgins,6,LITUECHE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pulin,Pulin N° S/N,,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,Consultorio de Salud Mental de Rancagua,"Bombero Villalobos Nº 690, Villa Naturales de Rancagua",,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Dr Eduardo de Geyter,"Santa Adela N° 769, Pob Dintrans",072-338592,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Ciudad de Paju,"Los Arcángeles Nº 1249, ViIIa Don Mateo",072-270126,
Del Libertador B.O'Higgins,6,SAN FERNANDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Consultorio Chacabuco,Avelino Barros N° S/N,,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Enrique Dintrans,Avda Baquedano N° 626,072-237786,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Eduardo de Geyter,Sector Almarza,072-220934,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Abel Zapata,Miguel Ramírez N° S/N (esquina I Palma),072-211755,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Maria Latiffe,Republica N° S/N (esquina Recreo),072-252395,
Del Libertador B.O'Higgins,6,MACHALÍ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Machalí,Miranda N° 420,072-411800,
Del Libertador B.O'Higgins,6,SAN FERNANDO,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Oriente de San Fernando,José Miguel Carrera N° S/N,,
Del Libertador B.O'Higgins,6,RANCAGUA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Servicio,Servicio de Atención Primaria de Urgencia,SAPU-Rancagua,Avda Martínez de Rozs N° S/N,072-263561,
Del Maule,7,TALCA,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Talca),1 Oriente N° 936,,
Del Maule,7,CURICO,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San Juan de Dios de Curicó,Chacabuco N° 121,072-206200,072-206327
Del Maule,7,TENO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Teno,Arturo Prat N° S/N,075-565200,075-411016
Del Maule,7,MOLINA,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Molina,Avda Luis Cruz Martínez N° S/N,075-565200,075-565200
Del Maule,7,HUALAÑÉ,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Hualañé,Avda Libertad N° S/N,075-481036,075-481130
Del Maule,7,LICANTÉN,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Licantén,Avda Lautaro N° S/N,075-460146,075-460488
Del Maule,7,TALCA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr César Garavagno Burotto (Talca),1 Norte N° 1990,071-209100,071-209122
Del Maule,7,CUREPTO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Curepto,Pedro Antonio González N° 24,075-690071,
Del Maule,7,CONSTITUCIÓN,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital de Constitución,Hospital N° 200,071-671205,071-671305
Del Maule,7,LINARES,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Presidente Carlos Ibáñez del Campo (Linares),Avda Brasil N° 753,073-210020,073-213356
Del Maule,7,SAN JAVIER,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Abel Fuentealba Lagos (San Javier),Riquelme N° S/N,073-322441,073-322440
Del Maule,7,PARRAL,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital San José (Parral),Aníbal Pinto N° S/N,073-462031,073-462988
Del Maule,7,CAUQUENES,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital San Juan de Dios (Cauquenes),Manuel Montt N° S/N,073-512771,073-512694
Del Maule,7,CHANCO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Benjamín Pedreros (Chanco),Chanco N° S/N,073-551104,073-551104
Del Maule,7,TALCA,ATENCION SECUNDARIA,Servicio,Consultorio de Diagnóstico y Tratamiento,Centro Reproductivo Regional de Sangre,1 Norte N° S/N (esquina 14 Oriente),071-209240,
Del Maule,7,TALCA,ATENCION SECUNDARIA,Delegado,Consultorio de Diagnóstico y Tratamiento,Centro La Escalera,17 Norte N° 2745,71-213016,
Del Maule,7,TALCA,ATENCION SECUNDARIA,Delegado,Consultorio de Diagnóstico y Tratamiento,Crea Chile,1 Sur N° 626,71-212691,
Del Maule,7,TALCA,ATENCION SECUNDARIA,Delegado,Consultorio de Diagnóstico y Tratamiento,Nexos Ltda,13 Norte N° S/N (con 7 Oriente),71-212863,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Sol de Septiembre,Avda Alessandri N° S/N,800500706,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Miguel Angel Arenas López,Avda Balmaceda Nº 0179/n,800500705,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Colón,Balmaceda N° S/N,800500703,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Curicó,Avda Freire N° 0189,800500704,
Del Maule,7,MOLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Lontué,Avda Hospital N° S/N,075-471055,
Del Maule,7,TALCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio José Dionisio Astaburuaga,12 Norte N° S/N,800500712,
Del Maule,7,TALCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Centro de Salud La Florida,Avda Los Nogales N° S/N,800500714,
Del Maule,7,TALCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Julio Contardo Urzúa,11 Oriente N° S/N (13 Sur),071-411103,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Valentín Letelier,Rengo N° S/N,800500709,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio San Juan Dios de Linares,Colo-Colo N° S/N (esquina Carmen),800500708,
Del Maule,7,VILLA ALEGRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Villa Alegre,Avda Francisco Antonio Encina N° 141,073-381585,
Del Maule,7,PARRAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Arrau Méndez,Cayetano Landaeta N° S/N,073-462799,
Del Maule,7,PENCAHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Pencahue,Fernando Parot Silva N° 148,071-371336,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio San Clemente,Los Espinos N° S/N,071-621250,
Del Maule,7,MAULE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Maule,Balmaceda N° 490,071-631192,
Del Maule,7,PELARCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Pelarco,Catedral N° 50,073-370317,
Del Maule,7,RÍO CLARO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Cumpeo,Casimiro Sepúlveda N° S/N,075-661010,
Del Maule,7,COLBÚN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Colbún,Adolfo Novoa N° 236,073-351002,
Del Maule,7,YERBAS BUENAS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Ignacio Carrera Pinto,Avda La Faja N° S/N,073-390027,
Del Maule,7,COLBÚN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Panimávida,Avda Rari Panimavida N° S/N,073-374408,
Del Maule,7,LONGAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Amanda Benavente,1 Norte N° 160,073-411276,
Del Maule,7,RETIRO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Marta Estévez,Errázuriz N° S/N,,
Del Maule,7,PELLUHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Dr Pedro Rivas Pinochet,Comercio N° S/N,073-556069,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Oscar Bonilla,Los Sauces N° S/N,800500707,
Del Maule,7,SAN RAFAEL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio San Rafael (San Rafael),Avda Oriente N° S/N,075-310453,
Del Maule,7,SAGRADA FAMILIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Sagrada Familia,Ignacio Carrera Pinto N° S/N,075-451013,
Del Maule,7,SAGRADA FAMILIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Villa Prat,Calle Principal N° S/N,075-451413,
Del Maule,7,VICHUQUÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Vichuquén,Luis Cruz Martinez N° S/N,074-400405,
Del Maule,7,ROMERAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Romeral,Pasaje Luis Saiz Romeral N° 196,075-431024,
Del Maule,7,CAUQUENES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Armando Williams,Padre Hurtado N° S/N,073-512433,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Sarmiento,Volcán Calbuco,075-351002,
Del Maule,7,TALCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Carlos Trupp,8 Sur N° S/N (30 0riente),800500711,
Del Maule,7,CONSTITUCIÓN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Cerro Alto,Diagonal N° S/N,800500702,
Del Maule,7,RAUCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Rauco,Bernardo O'Higgins N° S/N,075-411040,
Del Maule,7,EMPEDRADO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Empedrado,Avda Bueras N° S/N,071-671583,
Del Maule,7,TENO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Centro de Salud Morza,Sector Morza N° S/N,,
Del Maule,7,TENO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Comalle,Sector Plaza Comalle N° S/N,075-454002,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Los Niches,Villa Sta Elena,075-510646,
Del Maule,7,TALCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Las Américas,19 Norte con 6 1/2 Oriente N° 3000,71-213742,
Del Maule,7,CAUQUENES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Poniente de Cauquenes,Camino a Chanco Km 4 N° S/N (con Porongo),075-513584,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Centro de Salud Familiar Dr Carlos Díaz Gidi,Avda Chorrillos Sur N° S/N,73-322775,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Limávida,Sector Limávida,,
Del Maule,7,TENO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Monterilla,Aldea Monterilla - El Eucaliptus,,
Del Maule,7,CAUQUENES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pilén,Caserío Pilén Bajo,,
Del Maule,7,TENO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Manzano ( Teno),Sector El Manzano,,
Del Maule,7,TENO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Santa Blanca,Sector Santa Blanca,,
Del Maule,7,RAUCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Palquibudi,Aldea Palquibudi,,
Del Maule,7,RAUCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Parrón,Caserío El Parrón,,
Del Maule,7,EMPEDRADO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pellines (Empedrado),Sector Pellines,,
Del Maule,7,ROMERAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Peumal,Caserío El Peumal,,
Del Maule,7,ROMERAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Calabozo,Sector El Calabozo,,
Del Maule,7,ROMERAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Queñes,Aldea Los Queñes,,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Huaquén (Curepto),Aldea Guaquén,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pejerrey,Caserío Pejerrey,,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Tutuquén,Sector Tutuquén,,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chequenlemu,Sector Chequenlemu,,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Upeo,Caserío Upeo,,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Potrero Grande,Sector Potrero Grande,,
Del Maule,7,CURICO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Cordillerilla,Sector Cordillerilla,,
Del Maule,7,MOLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pichingal,Aldea Pichingal,,
Del Maule,7,MOLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Itahue,Pueblo Itahue,,
Del Maule,7,MOLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Radal,Caserío El Radal,,
Del Maule,7,MOLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Yacal,Caserío El Yacal,,
Del Maule,7,HUALAÑÉ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Huerta,Aldea La Huerta,,
Del Maule,7,LICANTÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Lora,Aldea Lora,,
Del Maule,7,LICANTÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Duao de Licantén,Pueblo de Licantén,,
Del Maule,7,LICANTÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Iloca,Pueblo de Iloca,,
Del Maule,7,VICHUQUÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Llico (Vichufquen),Pueblo de Llico,,
Del Maule,7,VICHUQUÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Lipimávida,Caserío Limpimávida,,
Del Maule,7,CHANCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Colo,Sector El Colo,,
Del Maule,7,VICHUQUÉN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Rarín,Sector Rarín,,
Del Maule,7,RÍO CLARO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Camarico (Río Claro),Aldea Camarico,,
Del Maule,7,RÍO CLARO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Porvenir,Aldea Porvenir,,
Del Maule,7,RÍO CLARO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Peñaflor,Caserío Peñaflor,,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Coipué (Curepto),Sector Coipué,,
Del Maule,7,CONSTITUCIÓN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Carrizalillo (Constitución ),Caserío Carrizalillo,,
Del Maule,7,PENCAHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Botalcura,Caserío Botalcura,,
Del Maule,7,PENCAHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Corinto,Aldea Corinto,,
Del Maule,7,PENCAHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Tanhuao,Sector Tanhuao,,
Del Maule,7,MAULE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Colín,Aldea Colín,,
Del Maule,7,MAULE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Duao de Maule,Aldea Duao,,
Del Maule,7,MAULE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Quiñipeumo,Sector Quiñipeumo,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Peumo Negro,Sector Peumo Negro,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Placeta,Caserío La Placenta,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Punta de Diamante,Caserío Punta de Diamante,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Lomas ( San Clamente ),Caserío Las Lomas,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Mariposas,Aldea Mariposas,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Vilches,Caserío Vilches Centro,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Corralones,Aldea Corralones,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Montes,Aldea Los Montes,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Colorado,Aldea El Colorado,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Suiza,Sector La Suiza,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Maitenes,Caserío Maitenes,,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Rapilermo,Sector Rapilermo,,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Gualleco,Aldea Gualleco,,
Del Maule,7,CUREPTO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Calpún,Sector Calpún,,
Del Maule,7,CONSTITUCIÓN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Putú,Aldea Putú,,
Del Maule,7,SAN CLEMENTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Buenos Aires,Aldea Buenos Aires,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Nirivilo,Caserío Nirivilo,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Rastrojos,Caserío Rastrojos,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Villavicencio,Sector Villavicencio,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Huerta,Caserío Huerta,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Melozal,Aldea Melozal,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Caliboro,Sector Caliboro,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Sauce (San Javier),Aldea El Sauce - Calle Larga,,
Del Maule,7,VILLA ALEGRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Estación,Aldea Estación,,
Del Maule,7,VILLA ALEGRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Putagán,Aldea Putagán,,
Del Maule,7,VILLA ALEGRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Lagunillas ( Villa Alegre ),Aldea Lagunillas,,
Del Maule,7,VILLA ALEGRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Peñuelas,Aldea Peñuelas,,
Del Maule,7,YERBAS BUENAS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Orilla,Caserío Orilla del Maule,,
Del Maule,7,YERBAS BUENAS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Maitencillo (Yerbas Buenas),Aldea Maitencillo,,
Del Maule,7,COLBÚN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Maule Sur,Aldea Maule Sur,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Palmilla (Linares),Caserío Palmilla,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Embalse Ancoa,Caserío Embalse Ancoa,,
Del Maule,7,SAN JAVIER,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Peumal,Sector Peumal,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Vega de Salas,Caserío Cajón Vega de Salas,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chupallar,Caserío Chupallar,,
Del Maule,7,LINARES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Hualles,Caserío Los Hualles,,
Del Maule,7,CONSTITUCIÓN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Cañas,Aldea Las Cañas,,
Del Maule,7,LONGAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Miraflores,Aldea Miraflores,,
Del Maule,7,LONGAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Huimeo,Caserío Huimeo,,
Del Maule,7,LONGAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Mesamávida (LosÁngeles),Caserío Camino a Mesamávida,,
